"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IGIP",492311,6,0.30453,0.64017,0.82763,0.99668,0.52206,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGLL1",3543,6,-0.09004,-0.23379,0.21104,0.92975,0.81514,0.96147,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGLL5",100423062,6,0.23753,0.47277,0.9694,0.9993,0.63638,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGLON5",402665,6,0.056212,0.15246,0.47283,0.98138,0.87882,0.97313,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF1",3547,6,0.60232,0.90718,0.16615,0.89788,0.36431,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF10",285313,6,0.47436,1.0986,0.37932,0.97543,0.27195,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF11",152404,6,-0.2682,-0.97364,0.064894,0.76149,0.33023,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF21",84966,6,0.0085799,0.028832,0.37369,0.97477,0.977,0.99507,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF22",283284,6,0.33813,0.82088,0.73093,0.9938,0.41171,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF23",147710,6,0.20297,0.57215,0.86417,0.9983,0.56722,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF3",3321,6,-0.42778,-1.1767,0.018758,0.50622,0.2393,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"IGSF5",150084,6,0.68694,1.4116,0.087846,0.80294,0.15806,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IGSF6",10261,6,0.60425,0.99158,0.16417,0.89524,0.3214,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF8",93185,6,0.098472,0.28366,0.5745,0.98867,0.77667,0.95291,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGSF9",57549,6,-0.085571,-0.27362,0.21727,0.93458,0.78438,0.95343,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IHH",3549,6,0.34666,0.79266,0.70558,0.9938,0.42798,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IK",3550,6,-0.10711,-0.26686,0.19072,0.91874,0.78957,0.95405,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IKBIP",121457,6,0.42914,0.39028,0.48444,0.98209,0.69633,0.94531,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IKBKB",3551,6,0.55894,1.2928,0.22759,0.94471,0.19609,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
